"status","pep number","PEP Title","authors","Python version"
"PA","https://peps.python.org/pep-0001/","PEP 1 – PEP Purpose and Guidelines","Barry Warsaw, Jeremy Hylton, David Goodger, Alyssa Coghlan",""
"PA","https://peps.python.org/pep-0002/","PEP 2 – Procedure for Adding New Modules","Brett Cannon, Martijn Faassen",""
"PW","https://peps.python.org/pep-0003/","PEP 3 – Guidelines for Handling Bug Reports","Jeremy Hylton",""
"PA","https://peps.python.org/pep-0004/","PEP 4 – Deprecation of Standard Modules","Brett Cannon, Martin von Löwis",""
"PS","https://peps.python.org/pep-0005/","PEP 5 – Guidelines for Language Evolution","Paul Prescod",""
"PS","https://peps.python.org/pep-0006/","PEP 6 – Bug Fix Releases","Aahz, Anthony Baxter",""
"PA","https://peps.python.org/pep-0007/","PEP 7 – Style Guide for C Code","Guido van Rossum, Barry Warsaw",""
"PA","https://peps.python.org/pep-0008/","PEP 8 – Style Guide for Python Code","Guido van Rossum, Barry Warsaw, Alyssa Coghlan",""
"PW","https://peps.python.org/pep-0009/","PEP 9 – Sample Plaintext PEP Template","Barry Warsaw",""
"PA","https://peps.python.org/pep-0010/","PEP 10 – Voting Guidelines","Barry Warsaw",""
"PA","https://peps.python.org/pep-0011/","PEP 11 – CPython platform support","Martin von Löwis, Brett Cannon",""
"PA","https://peps.python.org/pep-0012/","PEP 12 – Sample reStructuredText PEP Template","David Goodger, Barry Warsaw, Brett Cannon",""
"PA","https://peps.python.org/pep-0013/","PEP 13 – Python Language Governance","The Python core team and community",""
"IA","https://peps.python.org/pep-0020/","PEP 20 – The Zen of Python","Tim Peters",""
"PW","https://peps.python.org/pep-0042/","PEP 42 – Feature Requests","Jeremy Hylton",""
"SF","https://peps.python.org/pep-0100/","PEP 100 – Python Unicode Integration","Marc-André Lemburg","2.0"
"IA","https://peps.python.org/pep-0101/","PEP 101 – Doing Python Releases 101","Barry Warsaw, Guido van Rossum",""
"IS","https://peps.python.org/pep-0102/","PEP 102 – Doing Python Micro Releases","Anthony Baxter, Barry Warsaw, Guido van Rossum",""
"IW","https://peps.python.org/pep-0103/","PEP 103 – Collecting information about git","Oleg Broytman",""
"IF","https://peps.python.org/pep-0160/","PEP 160 – Python 1.6 Release Schedule","Fred L. Drake, Jr.","1.6"
"IF","https://peps.python.org/pep-0200/","PEP 200 – Python 2.0 Release Schedule","Jeremy Hylton","2.0"
"SF","https://peps.python.org/pep-0201/","PEP 201 – Lockstep Iteration","Barry Warsaw","2.0"
"SF","https://peps.python.org/pep-0202/","PEP 202 – List Comprehensions","Barry Warsaw","2.0"
"SF","https://peps.python.org/pep-0203/","PEP 203 – Augmented Assignments","Thomas Wouters","2.0"
"SR","https://peps.python.org/pep-0204/","PEP 204 – Range Literals","Thomas Wouters","2.0"
"SF","https://peps.python.org/pep-0205/","PEP 205 – Weak References","Fred L. Drake, Jr.","2.1"
"IW","https://peps.python.org/pep-0206/","PEP 206 – Python Advanced Library","A.M. Kuchling",""
"SF","https://peps.python.org/pep-0207/","PEP 207 – Rich Comparisons","Guido van Rossum, David Ascher","2.1"
"SF","https://peps.python.org/pep-0208/","PEP 208 – Reworking the Coercion Model","Neil Schemenauer, Marc-André Lemburg","2.1"
"SW","https://peps.python.org/pep-0209/","PEP 209 – Multi-dimensional Arrays","Paul Barrett, Travis Oliphant","2.2"
"SR","https://peps.python.org/pep-0210/","PEP 210 – Decoupling the Interpreter Loop","David Ascher","2.1"
"SR","https://peps.python.org/pep-0211/","PEP 211 – Adding A New Outer Product Operator","Greg Wilson","2.1"
"SR","https://peps.python.org/pep-0212/","PEP 212 – Loop Counter Iteration","Peter Schneider-Kamp","2.1"
"SD","https://peps.python.org/pep-0213/","PEP 213 – Attribute Access Handlers","Paul Prescod","2.1"
"SF","https://peps.python.org/pep-0214/","PEP 214 – Extended Print Statement","Barry Warsaw","2.0"
"SS","https://peps.python.org/pep-0215/","PEP 215 – String Interpolation","Ka-Ping Yee","2.1"
"IR","https://peps.python.org/pep-0216/","PEP 216 – Docstring Format","Moshe Zadka",""
"SF","https://peps.python.org/pep-0217/","PEP 217 – Display Hook for Interactive Use","Moshe Zadka","2.1"
"SF","https://peps.python.org/pep-0218/","PEP 218 – Adding a Built-In Set Object Type","Greg Wilson, Raymond Hettinger","2.2"
"SD","https://peps.python.org/pep-0219/","PEP 219 – Stackless Python","Gordon McMillan","2.1"
"IR","https://peps.python.org/pep-0220/","PEP 220 – Coroutines, Generators, Continuations","Gordon McMillan",""
"SF","https://peps.python.org/pep-0221/","PEP 221 – Import As","Thomas Wouters","2.0"
"SD","https://peps.python.org/pep-0222/","PEP 222 – Web Library Enhancements","A.M. Kuchling","2.1"
"SF","https://peps.python.org/pep-0223/","PEP 223 – Change the Meaning of \x Escapes","Tim Peters","2.0"
"SR","https://peps.python.org/pep-0224/","PEP 224 – Attribute Docstrings","Marc-André Lemburg","2.1"
"SR","https://peps.python.org/pep-0225/","PEP 225 – Elementwise/Objectwise Operators","Huaiyu Zhu, Gregory Lielens","2.1"
"IF","https://peps.python.org/pep-0226/","PEP 226 – Python 2.1 Release Schedule","Jeremy Hylton","2.1"
"SF","https://peps.python.org/pep-0227/","PEP 227 – Statically Nested Scopes","Jeremy Hylton","2.1"
"SW","https://peps.python.org/pep-0228/","PEP 228 – Reworking Python’s Numeric Model","Moshe Zadka, Guido van Rossum",""
"SF","https://peps.python.org/pep-0229/","PEP 229 – Using Distutils to Build Python","A.M. Kuchling","2.1"
"SF","https://peps.python.org/pep-0230/","PEP 230 – Warning Framework","Guido van Rossum","2.1"
"SR","https://peps.python.org/pep-0231/","PEP 231 – __findattr__()","Barry Warsaw","2.1"
"SF","https://peps.python.org/pep-0232/","PEP 232 – Function Attributes","Barry Warsaw","2.1"
"SD","https://peps.python.org/pep-0233/","PEP 233 – Python Online Help","Paul Prescod","2.1"
"SF","https://peps.python.org/pep-0234/","PEP 234 – Iterators","Ka-Ping Yee, Guido van Rossum","2.1"
"SF","https://peps.python.org/pep-0235/","PEP 235 – Import on Case-Insensitive Platforms","Tim Peters","2.1"
"SF","https://peps.python.org/pep-0236/","PEP 236 – Back to the __future__","Tim Peters","2.1"
"SF","https://peps.python.org/pep-0237/","PEP 237 – Unifying Long Integers and Integers","Moshe Zadka, Guido van Rossum","2.2"
"SF","https://peps.python.org/pep-0238/","PEP 238 – Changing the Division Operator","Moshe Zadka, Guido van Rossum","2.2"
"SR","https://peps.python.org/pep-0239/","PEP 239 – Adding a Rational Type to Python","Christopher A. Craig, Moshe Zadka","2.2"
"SR","https://peps.python.org/pep-0240/","PEP 240 – Adding a Rational Literal to Python","Christopher A. Craig, Moshe Zadka","2.2"
"SS","https://peps.python.org/pep-0241/","PEP 241 – Metadata for Python Software Packages","A.M. Kuchling",""
"SR","https://peps.python.org/pep-0242/","PEP 242 – Numeric Kinds","Paul F. Dubois","2.2"
"SW","https://peps.python.org/pep-0243/","PEP 243 – Module Repository Upload Mechanism","Sean Reifschneider","2.1"
